client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731647560.16775,1731647560.1758022,1731647560.1823826,1731647560.2016382,1731647560.1761754,1731647560.201656,1731647560.202578,1731647560.2004848
1731647560.2007527,1731647560.2097328,1731647560.2167375,1731647560.2358885,1731647560.21016,1731647560.2359056,1731647560.237075,1731647560.2352653
1731647560.2354617,1731647560.244084,1731647560.250684,1731647560.2692034,1731647560.2445178,1731647560.2692194,1731647560.2718682,1731647560.269719
1731647560.2699401,1731647560.278084,1731647560.2842379,1731647560.3028808,1731647560.278477,1731647560.3028953,1731647560.303662,1731647560.3011909
1731647560.3013766,1731647560.310798,1731647560.3184571,1731647560.3379438,1731647560.311262,1731647560.3379579,1731647560.3389387,1731647560.336709
1731647560.3369205,1731647560.3451984,1731647560.35237,1731647560.3715682,1731647560.3455868,1731647560.3715827,1731647560.374735,1731647560.3724186
1731647560.3726473,1731647560.381186,1731647560.3879166,1731647560.4067879,1731647560.381647,1731647560.406804,1731647560.4078367,1731647560.4057322
1731647560.4059827,1731647560.4140708,1731647560.4235258,1731647560.4466825,1731647560.4147484,1731647560.4467218,1731647560.4477687,1731647560.4460092
1731647560.446209,1731647560.4547312,1731647560.4615917,1731647560.481147,1731647560.4552062,1731647560.481172,1731647560.481947,1731647560.479998
1731647560.480183,1731647560.4885616,1731647560.4953978,1731647560.5147855,1731647560.48904,1731647560.5148096,1731647560.5158644,1731647560.513893
1731647560.514067,1731647560.522881,1731647560.53265,1731647560.562413,1731647560.5247202,1731647560.5624719,1731647560.563298,1731647560.561364
1731647560.561665,1731647560.5702682,1731647560.577332,1731647560.598329,1731647560.5707717,1731647560.5983565,1731647560.599607,1731647560.5980198
1731647560.5982225,1731647560.6068397,1731647560.6138248,1731647560.634101,1731647560.6073065,1731647560.6341245,1731647560.634949,1731647560.633065
1731647560.6332598,1731647560.641939,1731647560.6494992,1731647560.675216,1731647560.642462,1731647560.6752393,1731647560.6762803,1731647560.6744163
1731647560.6746998,1731647560.6832223,1731647560.6900349,1731647560.7110283,1731647560.6837196,1731647560.7110512,1731647560.7120595,1731647560.7101977
1731647560.7103753,1731647560.7188177,1731647560.7261844,1731647560.7458673,1731647560.719274,1731647560.7458868,1731647560.7467413,1731647560.7448118
1731647560.7449892,1731647560.7534692,1731647560.760054,1731647560.7808592,1731647560.7539427,1731647560.780887,1731647560.78184,1731647560.779954
1731647560.7801495,1731647560.7898486,1731647560.796735,1731647560.8173745,1731647560.790297,1731647560.8173945,1731647560.8186092,1731647560.8164814
1731647560.8167255,1731647560.8250124,1731647560.8321488,1731647560.851494,1731647560.8254871,1731647560.8515167,1731647560.8524504,1731647560.8503335
1731647560.8504968,1731647560.8586638,1731647560.8651967,1731647560.8840017,1731647560.8591032,1731647560.8840163,1731647560.8849676,1731647560.8826578
1731647560.8828228,1731647560.8920548,1731647560.8990655,1731647560.919203,1731647560.8925147,1731647560.9192176,1731647560.920326,1731647560.9180968
1731647560.9182525,1731647560.9261703,1731647560.9336066,1731647560.9524806,1731647560.926571,1731647560.9524934,1731647560.954719,1731647560.9524999
1731647560.952737,1731647560.9606755,1731647560.9670508,1731647560.985086,1731647560.961058,1731647560.9850972,1731647560.9858267,1731647560.9836698
1731647560.9838398,1731647560.9913287,1731647560.9972546,1731647561.0164852,1731647560.9917266,1731647561.0164998,1731647561.0176013,1731647561.0152025
1731647561.0153775,1731647561.0230863,1731647561.0290847,1731647561.0475416,1731647561.0234804,1731647561.047553,1731647561.0486424,1731647561.0462449
1731647561.0464177,1731647561.0542123,1731647561.0604708,1731647561.0789247,1731647561.0546224,1731647561.078936,1731647561.0799525,1731647561.0776768
1731647561.0778487,1731647561.0855122,1731647561.0915456,1731647561.113284,1731647561.0859065,1731647561.113297,1731647561.1142492,1731647561.1120894
1731647561.1122408,1731647561.1197631,1731647561.1259587,1731647561.143858,1731647561.1201327,1731647561.1438699,1731647561.1449423,1731647561.1427279
1731647561.1429033,1731647561.150273,1731647561.1566281,1731647561.1745775,1731647561.1506848,1731647561.1745882,1731647561.1756055,1731647561.1732273
1731647561.1733959,1731647561.1809514,1731647561.1870878,1731647561.20498,1731647561.1813242,1731647561.2049897,1731647561.2058492,1731647561.203437
1731647561.203671,1731647561.2120757,1731647561.218695,1731647561.248329,1731647561.2124615,1731647561.248342,1731647561.249333,1731647561.2468784
1731647561.24702,1731647561.2562416,1731647561.2639544,1731647561.2857685,1731647561.2568882,1731647561.2857912,1731647561.2865403,1731647561.2843192
1731647561.2844543,1731647561.293269,1731647561.3011622,1731647561.3286967,1731647561.2938025,1731647561.3287382,1731647561.329723,1731647561.3277485
1731647561.3278863,1731647561.3361106,1731647561.3428984,1731647561.3633652,1731647561.3365817,1731647561.3633811,1731647561.3644636,1731647561.3620164
1731647561.3621333,1731647561.3712943,1731647561.3787935,1731647561.4000115,1731647561.3719046,1731647561.40004,1731647561.4011638,1731647561.3991303
1731647561.3992522,1731647561.4081943,1731647561.4161503,1731647561.4421668,1731647561.4088075,1731647561.4421904,1731647561.4431052,1731647561.440938
1731647561.4410734,1731647561.4499865,1731647561.4575121,1731647561.480358,1731647561.450477,1731647561.480379,1731647561.48145,1731647561.4792192
1731647561.47936,1731647561.488651,1731647561.496339,1731647561.5183535,1731647561.4892325,1731647561.518381,1731647561.5196054,1731647561.517681
1731647561.5178022,1731647561.5262527,1731647561.5328782,1731647561.552623,1731647561.5267394,1731647561.5526395,1731647561.5538409,1731647561.5516405
1731647561.5517685,1731647561.5599341,1731647561.567538,1731647561.5902512,1731647561.5603123,1731647561.5902643,1731647561.5914054,1731647561.5891275
1731647561.5892682,1731647561.5972857,1731647561.6045454,1731647561.6237266,1731647561.5976796,1731647561.6237404,1731647561.6248715,1731647561.622461
1731647561.6226423,1731647561.6304905,1731647561.6369312,1731647561.6558466,1731647561.6308634,1731647561.6558597,1731647561.6570253,1731647561.6547394
1731647561.6548765,1731647561.662682,1731647561.6688354,1731647561.6898751,1731647561.6630492,1731647561.689888,1731647561.6939087,1731647561.691723
1731647561.69186,1731647561.701069,1731647561.7085903,1731647561.7318609,1731647561.7016547,1731647561.7318873,1731647561.73296,1731647561.730915
1731647561.7310526,1731647561.7395794,1731647561.7462568,1731647561.766759,1731647561.7400277,1731647561.7667754,1731647561.7679427,1731647561.7656379
1731647561.7657642,1731647561.773609,1731647561.7795885,1731647561.80157,1731647561.7740054,1731647561.8015847,1731647561.802582,1731647561.8002622
1731647561.8003616,1731647561.8082542,1731647561.8142307,1731647561.8336306,1731647561.8086495,1731647561.8336432,1731647561.8348725,1731647561.8326168
1731647561.8327405,1731647561.8404725,1731647561.8466702,1731647561.8661888,1731647561.8408463,1731647561.8662007,1731647561.8673186,1731647561.8648748
1731647561.864994,1731647561.8727806,1731647561.8789632,1731647561.9005885,1731647561.8731432,1731647561.9006016,1731647561.9017274,1731647561.8991659
1731647561.8992867,1731647561.907191,1731647561.9137619,1731647561.9332075,1731647561.9075742,1731647561.933221,1731647561.9343703,1731647561.9318466
1731647561.9319687,1731647561.9398143,1731647561.9457948,1731647561.965148,1731647561.9401677,1731647561.9651601,1731647561.96629,1731647561.9639232
1731647561.9640613,1731647561.9719186,1731647561.978701,1731647562.0028913,1731647561.9722784,1731647562.0029054,1731647562.0040278,1731647562.001928
1731647562.002026,1731647562.0102196,1731647562.01784,1731647562.0362272,1731647562.010625,1731647562.036241,1731647562.0375376,1731647562.034967
