client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1134348.30675417,0.787,1134334.349163361,1134334.350884812,1134334.355887189,1134334.371683827,1134334.371695449,1134334.372288565,1134334.372386599,1134348.333129546
1134348.33321074,0.787,1134334.375657927,1134334.377384858,1134334.382476534,1134334.397588872,1134334.397600073,1134334.398345417,1134334.398440836,1134348.359209755
1134348.359294225,0.787,1134334.401845866,1134334.403604226,1134334.409098218,1134334.425838242,1134334.425849763,1134334.426754657,1134334.426838575,1134348.387613808
1134348.387701934,0.787,1134334.430346368,1134334.432128182,1134334.437586417,1134334.453743904,1134334.453755576,1134334.454491832,1134334.454576071,1134348.415346705
1134348.415433118,0.787,1134334.458109361,1134334.460050556,1134334.465041782,1134334.481047293,1134334.481059125,1134334.481787425,1134334.481869831,1134348.442641947
1134348.442732838,0.787,1134334.485788958,1134334.487868423,1134334.494109352,1134334.51168583,1134334.511721947,1134334.512531892,1134334.512742869,1134348.473968288
1134348.474145592,0.787,1134334.518254495,1134334.52013803,1134334.525738002,1134334.54302208,1134334.543057807,1134334.543906705,1134334.544109537,1134348.505429934
1134348.505518461,0.787,1134334.548314242,1134334.550180766,1134334.555451608,1134334.571568387,1134334.571582203,1134334.572289566,1134334.572392699,1134348.533291132
1134348.533378936,0.787,1134334.575962359,1134334.577713626,1134334.582841479,1134334.598657974,1134334.598669446,1134334.599231313,1134334.599315131,1134348.560187902
1134348.560282661,0.787,1134334.602965673,1134334.604928669,1134334.610742643,1134334.628585041,1134334.628603566,1134334.629374116,1134334.629493521,1134348.590416815
1134348.590506704,0.787,1134334.632967291,1134334.634681137,1134334.64007986,1134334.656077766,1134334.656092113,1134334.656698494,1134334.656804514,1134348.617744274
1134348.61783255,0.787,1134334.66021268,1134334.661870591,1134334.66696919,1134334.683244828,1134334.683257221,1134334.683966406,1134334.684067857,1134348.644862002
1134348.644948545,0.787,1134334.687231193,1134334.688805626,1134334.693770443,1134334.709065496,1134334.709076115,1134334.709820496,1134334.709896319,1134348.670653007
1134348.670724713,0.787,1134334.712805476,1134334.714674234,1134334.72014357,1134334.735954474,1134334.735965645,1134334.736700157,1134334.736776081,1134348.697511977
1134348.697596807,0.787,1134334.739711446,1134334.741387972,1134334.746512619,1134334.762569005,1134334.762579885,1134334.763307776,1134334.763396223,1134348.724149839
1134348.724235921,0.787,1134334.766332931,1134334.767983508,1134334.773229804,1134334.789313411,1134334.789324492,1134334.790053836,1134334.790130269,1134348.750829229
1134348.750912225,0.787,1134334.793184198,1134334.794801753,1134334.799696477,1134334.815403325,1134334.815414316,1134334.816150653,1134334.81622929,1134348.776909818
1134348.777115225,0.787,1134334.81931043,1134334.820869255,1134334.826091666,1134334.841586596,1134334.841597055,1134334.842308294,1134334.84239644,1134348.803167434
1134348.803251422,0.787,1134334.845378584,1134334.846938631,1134334.852248437,1134334.867874873,1134334.867886224,1134334.868589297,1134334.868663788,1134348.829453933
1134348.82954212,0.787,1134334.87249979,1134334.874558324,1134334.880639182,1134334.897808092,1134334.897843378,1134334.898679382,1134334.898853681,1134348.860087459
1134348.860182949,0.787,1134334.902583332,1134334.904298811,1134334.909538454,1134334.925563221,1134334.925575824,1134334.92630621,1134334.926406768,1134348.887230124
1134348.887317287,0.787,1134334.93037585,1134334.932568298,1134334.938750796,1134334.956709053,1134334.956743457,1134334.957565885,1134334.957745985,1134348.91887882
