timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1732927318496,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,470,132859,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318523,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132849,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318551,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318578,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318605,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132879,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318632,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132829,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318659,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,470,132889,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318686,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,470,132869,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318712,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318739,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132859,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318766,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132899,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318794,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132849,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318821,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132879,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318847,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132849,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318874,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132809,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318901,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132859,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318928,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132859,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927318954,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132839,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927318982,30,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132889,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,1
