client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
625238.901130844,0.0009523219480216498,625224.887330123,625224.889428793,625224.895145131,625224.911847313,625224.91187753,625224.913037864,625224.913167467,625238.931762166
625238.931893333,0.0008832210767716168,625224.917930207,625224.919879037,625224.925294329,625224.942211756,625224.94223527,625224.943291638,625224.943401444,625238.961844554
625238.961984017,0.0009197779962122447,625224.948047997,625224.950086455,625224.955772054,625224.972447537,625224.972474247,625224.973641332,625224.973770434,625238.992331795
625238.992466328,0.0008904680804163213,625224.978548254,625224.980645772,625224.986425207,625225.003647213,625225.003671048,625225.004741814,625225.004858332,625239.023361796
625239.023499876,0.000940922993101178,625225.009579595,625225.011644983,625225.016967121,625225.033193192,625225.033219141,625225.034293313,625225.034408449,625239.053121799
625239.0532503,0.0008991550478637221,625225.039301724,625225.041437805,625225.047390815,625225.065208487,625225.065239726,625225.066388707,625225.066529651,625239.085201455
625239.085346097,0.0009476069380715477,625225.071550696,625225.073675506,625225.079698296,625225.096935742,625225.096965317,625225.098115611,625225.098242509,625239.116788704
625239.116917988,0.0009758778971284618,625225.102949556,625225.105062653,625225.110938859,625225.128799693,625225.128828446,625225.129891086,625225.130041238,625239.148582866
625239.148724391,0.000883766011163592,625225.134758482,625225.136831044,625225.142390047,625225.159144187,625225.15916715,625225.160236292,625225.160342812,625239.178874157
625239.179098108,0.000852327088981867,625225.165327769,625225.167742802,625225.173467634,625225.190503392,625225.190533509,625225.191590839,625225.191747672,625239.210343435
625239.210482798,0.0009619319166615618,625225.196711481,625225.198882697,625225.20462946,625225.221872416,625225.221898886,625225.22297966,625225.223123028,625239.24170473
625239.241845063,0.0008927039251402022,625225.227840284,625225.229907706,625225.235736474,625225.252733318,625225.252763103,625225.253821386,625225.253959174,625239.272509767
625239.272718681,0.0010079289993718266,625225.258974398,625225.261210806,625225.267172051,625225.28421346,625225.284242024,625225.285250502,625225.285376769,625239.30419961
625239.30433202,0.0008596579797863976,625225.290714927,625225.2928036,625225.298402886,625225.314708416,625225.314737441,625225.315870293,625225.315987152,625239.334573678
625239.334725604,0.0010194499525129803,625225.320884835,625225.322888368,625225.328531057,625225.345026522,625225.345049204,625225.346142582,625225.346253911,625239.364708054
625239.364857255,0.0009950139459744094,625225.350960276,625225.353116494,625225.359180633,625225.376169181,625225.376193858,625225.377302815,625225.3774229,625239.396058269
625239.396205887,0.0008743200113549843,625225.382155484,625225.384169977,625225.390212825,625225.407797982,625225.407829752,625225.408931344,625225.409086375,625239.427607207
625239.427744475,0.0009112490542903529,625225.413681722,625225.415826619,625225.421714889,625225.438845664,625225.438871392,625225.439974468,625225.4401144,625239.458602724
625239.458741525,0.000998215988337995,625225.444891378,625225.44699066,625225.452846748,625225.470166067,625225.470197426,625225.471253724,625225.471397142,625239.490103741
625239.490255788,0.0009180849909558898,625225.476355038,625225.478524532,625225.48436452,625225.501552983,625225.501581547,625225.50269895,625225.502814397,625239.521399873
625239.521569612,0.0009409180427491677,625225.507581906,625225.50970929,625225.515658874,625225.532858779,625225.532886651,625225.533929424,625225.534077111,625239.55266653
625239.552796966,0.0009249499920457593,625225.538985154,625225.541329284,625225.547453224,625225.564581976,625225.564608436,625225.565684331,625225.565808013,625239.584389916
625239.584563484,0.0008922730152010928,625225.570659119,625225.572785942,625225.578450041,625225.595687777,625225.595710791,625225.596811982,625225.596920346,625239.615403757
625239.615570441,0.0009461840184777984,625225.601601985,625225.603666952,625225.609919753,625225.627313211,625225.627340522,625225.628425044,625225.628551871,625239.647106625
625239.647228544,0.0008659770497679714,625225.633270519,625225.635379369,625225.64097036,625225.657552599,625225.657572707,625225.658496998,625225.658602536,625239.677054521
625239.677188232,0.0008731430144533515,625225.663062119,625225.665103933,625225.670820329,625225.688031666,625225.688061081,625225.689086782,625225.689220132,625239.707788375
625239.70792397,0.0009018260303661242,625225.694066148,625225.696363331,625225.701867982,625225.718344121,625225.718366372,625225.7194915,625225.719601346,625239.738051796
625239.738175048,0.0008134190044030536,625225.723947626,625225.725913288,625225.731669699,625225.747814458,625225.747842882,625225.748927363,625225.749067755,625239.767502467
625239.767687915,0.0008566770485863087,625225.753791223,625225.755880647,625225.761977345,625225.778674319,625225.778697763,625225.779729285,625225.779846914,625239.798247592
625239.7983639,0.0007342689757496128,625225.784286369,625225.786293138,625225.792053969,625225.808656344,625225.808680049,625225.809740214,625225.809861913,625239.828276169
625239.828380655,0.000785542988613247,625225.814165172,625225.816235841,625225.822132114,625225.83956187,625225.839586587,625225.840674905,625225.840795771,625239.859390198
625239.859520974,0.000830042960077524,625225.845622692,625225.847705352,625225.853572853,625225.870520845,625225.870548127,625225.871725672,625225.871858832,625239.890328017
625239.890442952,0.0008705890052467594,625225.876232935,625225.878440198,625225.884704963,625225.902283767,625225.90231219,625225.903488113,625225.90363019,625239.922236541
625239.922368379,0.0009285790778323991,625225.908470916,625225.910619611,625225.916586345,625225.933314858,625225.933338463,625225.934416582,625225.934524053,625239.953056958
625239.953230675,0.0008981040072366595,625225.939249915,625225.941263206,625225.946984361,625225.964172534,625225.964201999,625225.965395425,625225.96552122,625239.984150779
625239.984301673,0.0009102510344460614,625225.970469709,625225.972640264,625225.978268846,625225.994728736,625225.99475229,625225.995801074,625225.995919826,625240.014410924
625240.014614156,0.0010103619948923573,625226.000690762,625226.002759507,625226.008512031,625226.025248889,625226.025278805,625226.026357265,625226.026488541,625240.045245518
625240.045408263,0.0009189520126283157,625226.031664996,625226.033815174,625226.039574521,625226.056287324,625226.056310047,625226.057478565,625226.057592218,625240.076135215
625240.076289205,0.0009477850554734484,625226.062357352,625226.064368099,625226.07018808,625226.087154277,625226.087182349,625226.08824489,625226.088375695,625240.10713599
625240.107273469,0.0008888960302919149,625226.093936871,625226.096245104,625226.102486554,625226.119891864,625226.119921329,625226.120996824,625226.121167804,625240.139974365
625240.140147441,0.0008976000349521646,625226.126566085,625226.128740167,625226.134907328,625226.152157928,625226.152187614,625226.153316929,625226.153466389,625240.172197041
625240.172347173,0.0009094850376546379,625226.158958446,625226.161229519,625226.167410126,625226.184874125,625226.184900955,625226.186050268,625226.18617907,625240.204888658
625240.205055843,0.0009037390409633514,625226.19114435,625226.193301369,625226.199111111,625226.216058753,625226.216087768,625226.217150729,625226.217297674,625240.235898582
625240.236106393,0.0009301019611433134,625226.222323738,625226.22468461,625226.230485534,625226.248252262,625226.248277438,625226.249439114,625226.249571743,625240.268225495
625240.268360148,0.0009179360740929829,625226.25454619,625226.256688613,625226.262323427,625226.279268084,625226.279305885,625226.28053683,625226.280724411,625240.299440084
625240.299607288,0.0010279660114347923,625226.285870981,625226.288093053,625226.294100435,625226.310685869,625226.310711107,625226.311842114,625226.311973671,625240.330613254
625240.330794345,0.0008876310380846256,625226.316995186,625226.31911657,625226.325122769,625226.342580888,625226.342622285,625226.343545594,625226.343692109,625240.362328976
625240.362458109,0.0009296089014336484,625226.348661547,625226.350796726,625226.356774312,625226.374303854,625226.374335083,625226.375395669,625226.375529631,625240.394219718
625240.394349702,0.0008659119500592366,625226.380646124,625226.382842367,625226.388697684,625226.405778456,625226.405803233,625226.406808125,625226.406934352,625240.425395614
625240.42552722,0.0009264180111512553,625226.41160009,625226.413742012,625226.419396632,625226.436542086,625226.43657614,625226.437618472,625226.43775108,625240.456283638
625240.456411328,0.0008174589088782679,625226.442767576,625226.444968388,625226.450744236,625226.466654306,625226.466681607,625226.467701497,625226.467827073,625240.486392787
625240.486567987,0.0009415570002198198,625226.47283379,625226.475013352,625226.481269801,625226.498850799,625226.498879994,625226.499968122,625226.500118835,625240.518775544
625240.518924885,0.0009912480060011164,625226.504983065,625226.507160974,625226.512862263,625226.529425816,625226.529452597,625226.530540173,625226.530691957,625240.549416133
625240.549565304,0.0008925520467981708,625226.535849578,625226.538211371,625226.544138072,625226.561676901,625226.561701708,625226.562768656,625226.562894212,625240.581626856
625240.581752302,0.000995387960851194,625226.567899036,625226.57006317,625226.57595777,625226.593142496,625226.593171862,625226.594203955,625226.594349207,625240.61319469
625240.613366323,0.0009637529717087742,625226.599571067,625226.601792999,625226.607527299,625226.624408608,625226.624433394,625226.625447894,625226.625572558,625240.644158076
625240.644320502,0.0008983141069114214,625226.630435877,625226.632569573,625226.638619444,625226.656495255,625226.656524019,625226.657664626,625226.657801071,625240.676398816
625240.676574827,0.0009379739978536972,625226.662619266,625226.664682941,625226.670386824,625226.687324268,625226.687351919,625226.688431762,625226.688568228,625240.707207801
625240.707350309,0.0009511020255833849,625226.693638784,625226.69576127,625226.701442281,625226.718069022,625226.718095963,625226.719140539,625226.719260674,625240.737811411
625240.73794918,0.000996344001464547,625226.724173386,625226.726280362,625226.732216731,625226.748710343,625226.748739718,625226.749959483,625226.750101209,625240.768709524
625240.76885635,0.0009651650324910867,625226.755030341,625226.757043481,625226.762805223,625226.779649882,625226.779673817,625226.780666406,625226.780781622,625240.799244515
625240.799382966,0.0008872429801970727,625226.785291129,625226.787178223,625226.792502415,625226.808918132,625226.808945864,625226.809898297,625226.810051695,625240.828633209
625240.828788521,0.0009572550159692751,625226.815253387,625226.817591907,625226.82422458,625226.841044103,625226.841071384,625226.842048013,625226.842169761,625240.860750776
