model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
squeezenet1_1,1731684898.3258417,1731684898.3305502,1731684898.3366325,1731684898.352168,1731684898.3308783,1731684898.3521793,1731684898.3531456,1731684898.3534849
squeezenet1_1,1731684898.3537016,1731684898.3584626,1731684898.3640194,1731684898.3797073,1731684898.3588016,1731684898.379718,1731684898.380634,1731684898.381051
squeezenet1_1,1731684898.3812122,1731684898.3860312,1731684898.3915448,1731684898.407039,1731684898.386365,1731684898.4070492,1731684898.407957,1731684898.408238
squeezenet1_1,1731684898.4084263,1731684898.4131246,1731684898.4188085,1731684898.433995,1731684898.4134743,1731684898.434005,1731684898.4348145,1731684898.4350748
squeezenet1_1,1731684898.435228,1731684898.4399586,1731684898.446081,1731684898.4714568,1731684898.4402804,1731684898.4714668,1731684898.4726794,1731684898.4730263
squeezenet1_1,1731684898.4732049,1731684898.4784365,1731684898.4860654,1731684898.5063765,1731684898.4787714,1731684898.5064003,1731684898.507514,1731684898.5079336
squeezenet1_1,1731684898.508111,1731684898.5131328,1731684898.5189004,1731684898.5363636,1731684898.5134838,1731684898.5363736,1731684898.537447,1731684898.537784
squeezenet1_1,1731684898.5379608,1731684898.5425951,1731684898.5480952,1731684898.5651698,1731684898.5429163,1731684898.5651796,1731684898.5662334,1731684898.5667505
squeezenet1_1,1731684898.5669425,1731684898.571792,1731684898.5771592,1731684898.5922155,1731684898.572114,1731684898.5922258,1731684898.5932593,1731684898.5938272
squeezenet1_1,1731684898.593993,1731684898.5988684,1731684898.6047432,1731684898.6206148,1731684898.5992012,1731684898.6206255,1731684898.6216302,1731684898.6218824
squeezenet1_1,1731684898.6220498,1731684898.626667,1731684898.6327388,1731684898.6485603,1731684898.6269872,1731684898.6485698,1731684898.6495678,1731684898.649783
squeezenet1_1,1731684898.6499395,1731684898.6546187,1731684898.6602986,1731684898.6754222,1731684898.6549323,1731684898.6754534,1731684898.6762738,1731684898.676447
squeezenet1_1,1731684898.6766446,1731684898.6813533,1731684898.687264,1731684898.7025628,1731684898.681709,1731684898.7025728,1731684898.703445,1731684898.703827
squeezenet1_1,1731684898.704004,1731684898.7086797,1731684898.7150486,1731684898.730332,1731684898.7089956,1731684898.730342,1731684898.7312098,1731684898.7314634
squeezenet1_1,1731684898.731668,1731684898.7365358,1731684898.7428727,1731684898.759449,1731684898.736883,1731684898.7594604,1731684898.7603335,1731684898.7607603
squeezenet1_1,1731684898.760908,1731684898.7657151,1731684898.7727327,1731684898.7990644,1731684898.766049,1731684898.7990766,1731684898.8018546,1731684898.8022902
squeezenet1_1,1731684898.8025033,1731684898.807831,1731684898.8136623,1731684898.8396087,1731684898.8081996,1731684898.8396218,1731684898.8407562,1731684898.8412411
squeezenet1_1,1731684898.8414633,1731684898.847557,1731684898.8557713,1731684898.8815398,1731684898.8481703,1731684898.8815606,1731684898.8826065,1731684898.8831463
squeezenet1_1,1731684898.8833218,1731684898.8886356,1731684898.8955052,1731684898.9219182,1731684898.889088,1731684898.9219387,1731684898.9231157,1731684898.9239182
squeezenet1_1,1731684898.9240978,1731684898.9302478,1731684898.9369297,1731684898.9555395,1731684898.930849,1731684898.9555562,1731684898.9565878,1731684898.957134
squeezenet1_1,1731684898.9573047,1731684898.9631352,1731684898.9695504,1731684898.986573,1731684898.9636657,1731684898.9865897,1731684898.9876432,1731684898.9881997
