client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731652370.9013486,1731652370.9100792,1731652370.9183075,1731652370.9453812,1731652370.911702,1731652370.941125
1731652370.9412827,1731652370.9499385,1731652370.9594867,1731652370.9955273,1731652370.9518664,1731652370.9914057
1731652370.9916518,1731652371.0004132,1731652371.0077946,1731652371.0265434,1731652371.0020509,1731652371.0233097
1731652371.0235198,1731652371.0322592,1731652371.0396104,1731652371.057292,1731652371.0338311,1731652371.0526466
1731652371.052803,1731652371.0616765,1731652371.0705519,1731652371.0928807,1731652371.063638,1731652371.0888047
1731652371.0889897,1731652371.098198,1731652371.108671,1731652371.1365056,1731652371.1002045,1731652371.1322684
1731652371.132481,1731652371.1419594,1731652371.1539562,1731652371.1767244,1731652371.14493,1731652371.1722014
1731652371.1723487,1731652371.1811323,1731652371.1889026,1731652371.2091618,1731652371.1828573,1731652371.2045858
1731652371.2047434,1731652371.213004,1731652371.2202113,1731652371.237626,1731652371.2145083,1731652371.2331452
1731652371.233377,1731652371.2417645,1731652371.248688,1731652371.2662842,1731652371.243212,1731652371.2616518
1731652371.2618093,1731652371.2702491,1731652371.2775884,1731652371.3001287,1731652371.271708,1731652371.2956877
1731652371.295898,1731652371.304345,1731652371.31151,1731652371.3277,1731652371.305924,1731652371.3231115
1731652371.3232994,1731652371.3315773,1731652371.3401284,1731652371.3561313,1731652371.333079,1731652371.3514385
1731652371.3516347,1731652371.3601847,1731652371.3676283,1731652371.384187,1731652371.3618462,1731652371.3799462
1731652371.3801775,1731652371.388994,1731652371.3958313,1731652371.411981,1731652371.3905275,1731652371.4071724
1731652371.4073136,1731652371.415479,1731652371.422462,1731652371.4382684,1731652371.4169536,1731652371.4335248
1731652371.4337358,1731652371.4419692,1731652371.4486444,1731652371.4643703,1731652371.4433815,1731652371.4599726
