client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
779355.622302006,0.787,779341.665164513,779341.667033748,779341.672779598,779341.690122103,779341.690147141,779341.690879227,779341.691021465,779355.651763793
779355.651841438,0.787,779341.694756391,779341.696614226,779341.702039443,779341.718939405,779341.718965074,779341.71977619,779341.719895063,779355.680639406
779355.680719006,0.787,779341.723764403,779341.725703591,779341.731372515,779341.748343692,779341.748368919,779341.749332411,779341.749466794,779355.710152641
779355.710230276,0.787,779341.753285538,779341.75522643,779341.760750953,779341.777888302,779341.777913289,779341.778802221,779341.77892394,779355.739606651
779355.739699787,0.787,779341.782790574,779341.784705036,779341.790582663,779341.807777721,779341.807802487,779341.808733388,779341.808849167,779355.769556388
779355.769652748,0.787,779341.812730338,779341.814531997,779341.820191665,779341.837363549,779341.837388105,779341.838271707,779341.838397634,779355.799133651
779355.799211116,0.787,779341.842165913,779341.843976559,779341.849725675,779341.866910142,779341.866936533,779341.867868316,779341.867994482,779355.828702598
779355.828778811,0.787,779341.871782138,779341.873576484,779341.879069317,779341.896179715,779341.896205824,779341.897184356,779341.897301956,779355.857959589
779355.858076319,0.787,779341.901029319,779341.90283208,779341.908537263,779341.925532235,779341.925558274,779341.926492942,779341.926618538,779355.887300127
779355.887377583,0.787,779341.930364245,779341.93231241,779341.937741433,779341.954752955,779341.954779325,779341.955614898,779341.955733129,779355.9165249
779355.916603467,0.787,779341.959527558,779341.961377016,779341.967090124,779341.98418274,779341.984207787,779341.98511829,779341.98523565,779355.945923507
779355.946030247,0.787,779341.988989963,779341.990805799,779341.996645145,779342.013388192,779342.013425281,779342.014204718,779342.014321187,779355.975195505
779355.975272681,0.787,779342.018608182,779342.020757555,779342.026634181,779342.043397256,779342.043431651,779342.044303821,779342.044432794,779356.005282648
779356.00535842,0.787,779342.048172329,779342.049888407,779342.05515211,779342.071662099,779342.07168923,779342.072553226,779342.07267301,779356.033381812
779356.033457895,0.787,779342.076492576,779342.078332878,779342.084234381,779342.101112462,779342.10113843,779342.101915332,779342.102049204,779356.062759671
779356.062876751,0.787,779342.105826169,779342.107734529,779342.113543087,779342.13061352,779342.130640631,779342.131546165,779342.131670268,779356.092443946
779356.092523566,0.787,779342.135536401,779342.137308495,779342.142675522,779342.159527414,779342.159548944,779342.160442806,779342.160562501,779356.121295164
779356.121373752,0.787,779342.164442431,779342.166323919,779342.172122758,779342.189475774,779342.189501893,779342.190375997,779342.190506272,779356.151227868
779356.151305423,0.787,779342.194283498,779342.196082152,779342.20145505,779342.218322261,779342.218347919,779342.219197848,779342.219327622,779356.180170127
779356.180239267,0.787,779342.223315414,779342.225336336,779342.231167495,779342.247923027,779342.247947653,779342.248886199,779342.249022095,779356.209839873
779356.209917129,0.787,779342.253052957,779342.254911364,779342.260290222,779342.277314799,779342.277343895,779342.278321984,779342.278469402,779356.239329552
779356.239393702,0.787,779342.282438007,779342.284393106,779342.289936984,779342.30688094,779342.306904765,779342.307808856,779342.307921679,779356.268797251
779356.268876009,0.787,779342.312078949,779342.313959506,779342.319507905,779342.336714955,779342.336741716,779342.337677917,779342.337806288,779356.298610478
779356.298705106,0.787,779342.341917793,779342.343853043,779342.349547867,779342.366429114,779342.366455363,779342.367368431,779342.367507674,779356.328354615
779356.328431819,0.787,779342.371839202,779342.373905179,779342.379853599,779342.397042755,779342.397071239,779342.39806018,779342.398193149,779356.35888963
779356.358967997,0.787,779342.402568942,779342.404687678,779342.410421064,779342.430903977,779342.430929715,779342.431833896,779342.431957799,779356.392742102
