client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,client_receive_at
1731643230.6433523,1731643230.5995855,1731643230.6062713,1731643230.7647452,1731643230.6009,1731643230.8123443
1731643230.8124063,1731643230.7687697,1731643230.7750452,1731643230.9353242,1731643230.77014,1731643230.9829404
1731643230.9830894,1731643230.9395413,1731643230.9461026,1731643231.1084192,1731643230.9408917,1731643231.1560996
1731643231.1562011,1731643231.112273,1731643231.1186693,1731643231.2824922,1731643231.113664,1731643231.330147
1731643231.3302405,1731643231.2863488,1731643231.2928941,1731643231.4575744,1731643231.2876973,1731643231.5051796
1731643231.5052607,1731643231.4615524,1731643231.4679823,1731643231.6292708,1731643231.4629977,1731643231.6766794
1731643231.6767747,1731643231.63283,1731643231.6393363,1731643231.7991798,1731643231.6341758,1731643231.8467155
1731643231.8467834,1731643231.8028734,1731643231.809077,1731643231.9708035,1731643231.8041794,1731643232.0184424
1731643232.0184953,1731643231.9747264,1731643231.9813373,1731643232.1403525,1731643231.9761796,1731643232.187853
1731643232.187915,1731643232.144083,1731643232.1502306,1731643232.309043,1731643232.1453729,1731643232.356514
1731643232.356607,1731643232.3127427,1731643232.3192432,1731643232.4763944,1731643232.314107,1731643232.5242198
1731643232.5243025,1731643232.4806468,1731643232.487164,1731643232.648196,1731643232.4820223,1731643232.6955736
1731643232.6956325,1731643232.651732,1731643232.657946,1731643232.817384,1731643232.653056,1731643232.8648548
1731643232.864914,1731643232.8211687,1731643232.8275666,1731643232.987604,1731643232.8225863,1731643233.0352397
1731643233.0353096,1731643232.991581,1731643232.9978404,1731643233.1588109,1731643232.9929376,1731643233.206242
1731643233.2063055,1731643233.1625404,1731643233.168823,1731643233.3295908,1731643233.1638818,1731643233.377126
1731643233.3771887,1731643233.3334093,1731643233.3397899,1731643233.5016558,1731643233.334739,1731643233.5491877
1731643233.5492575,1731643233.5054777,1731643233.5117524,1731643233.6735487,1731643233.5068142,1731643233.7208664
1731643233.7209303,1731643233.677386,1731643233.6839623,1731643233.8438964,1731643233.6787767,1731643233.891423
1731643233.8914886,1731643233.8476186,1731643233.8538027,1731643234.0144079,1731643233.8489807,1731643234.061901
1731643234.0620115,1731643234.01825,1731643234.0245771,1731643234.1871707,1731643234.0196252,1731643234.2347171
1731643234.2347834,1731643234.1910238,1731643234.1973448,1731643234.3588257,1731643234.1923666,1731643234.4062896
1731643234.406349,1731643234.3627129,1731643234.3689945,1731643234.5269554,1731643234.364171,1731643234.5744376
1731643234.574506,1731643234.5306668,1731643234.537058,1731643234.6981022,1731643234.5319967,1731643234.7456033
1731643234.7456734,1731643234.7019718,1731643234.708235,1731643234.8668973,1731643234.7033129,1731643234.9145277
1731643234.9146202,1731643234.8707125,1731643234.8772652,1731643235.0362315,1731643234.8720973,1731643235.0836625
1731643235.0837245,1731643235.0400417,1731643235.046305,1731643235.2111602,1731643235.0413747,1731643235.2587607
1731643235.2588222,1731643235.2149947,1731643235.221472,1731643235.3771777,1731643235.2163408,1731643235.4246697
1731643235.4247284,1731643235.3808625,1731643235.387345,1731643235.5491085,1731643235.38222,1731643235.596491
1731643235.596583,1731643235.5527563,1731643235.559057,1731643235.7152574,1731643235.5541468,1731643235.7627661
1731643235.762828,1731643235.7189867,1731643235.7252185,1731643235.8825984,1731643235.7203176,1731643235.930173
1731643235.9302323,1731643235.8865118,1731643235.8933003,1731643236.053118,1731643235.887955,1731643236.1007626
1731643236.10085,1731643236.057251,1731643236.0635178,1731643236.2229166,1731643236.058624,1731643236.2707326
1731643236.2708182,1731643236.2272863,1731643236.233575,1731643236.3915298,1731643236.2286272,1731643236.4389722
