client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
1731651964.2425833,1731651964.2526443,1731651964.261455,1731651964.3006475,1731651964.2530484,1731651964.3006594,1731651964.302105,1731651964.2982726
1731651964.2983994,1731651964.309629,1731651964.3172393,1731651964.369355,1731651964.3101516,1731651964.3693933,1731651964.3708222,1731651964.3673015
1731651964.3674242,1731651964.3777611,1731651964.3854783,1731651964.406887,1731651964.3783417,1731651964.4069154,1731651964.407945,1731651964.4043505
1731651964.404469,1731651964.414885,1731651964.4225636,1731651964.443695,1731651964.4154105,1731651964.4437187,1731651964.444812,1731651964.4410872
1731651964.441212,1731651964.450952,1731651964.4576397,1731651964.4844859,1731651964.4514706,1731651964.484509,1731651964.4855344,1731651964.4817646
1731651964.4818883,1731651964.491665,1731651964.498413,1731651964.5183418,1731651964.4921522,1731651964.5183582,1731651964.519211,1731651964.5154555
1731651964.5156195,1731651964.5258286,1731651964.5327506,1731651964.55259,1731651964.526355,1731651964.552611,1731651964.5534108,1731651964.549596
1731651964.5497198,1731651964.5592306,1731651964.566078,1731651964.5858963,1731651964.5597239,1731651964.5859191,1731651964.58693,1731651964.5832143
1731651964.5833354,1731651964.5937998,1731651964.6035516,1731651964.6256003,1731651964.594534,1731651964.6256146,1731651964.6264882,1731651964.622425
1731651964.6225789,1731651964.6322656,1731651964.6389217,1731651964.6591187,1731651964.6327486,1731651964.6591337,1731651964.6600306,1731651964.6560254
1731651964.6561506,1731651964.6662111,1731651964.6736777,1731651964.6936789,1731651964.6667132,1731651964.693696,1731651964.6945999,1731651964.690831
1731651964.6909566,1731651964.7006657,1731651964.7078288,1731651964.7281022,1731651964.7011492,1731651964.7281194,1731651964.7290046,1731651964.7251925
1731651964.725314,1731651964.7349322,1731651964.7430582,1731651964.7671013,1731651964.7354069,1731651964.7671168,1731651964.767989,1731651964.7640882
1731651964.7642148,1731651964.7738101,1731651964.7810938,1731651964.8026767,1731651964.774286,1731651964.8026943,1731651964.8036032,1731651964.7997484
1731651964.7998762,1731651964.8097937,1731651964.8166492,1731651964.837386,1731651964.8102953,1731651964.837402,1731651964.8382666,1731651964.8344257
1731651964.834581,1731651964.844244,1731651964.8511012,1731651964.8730943,1731651964.8447464,1731651964.8731136,1731651964.8739877,1731651964.8700902
1731651964.8702178,1731651964.8801014,1731651964.8869026,1731651964.9076312,1731651964.8805969,1731651964.9076486,1731651964.9085171,1731651964.9044492
1731651964.9045835,1731651964.914821,1731651964.9215434,1731651964.942117,1731651964.9153101,1731651964.942136,1731651964.9428778,1731651964.939003
1731651964.9391274,1731651964.9491503,1731651964.9560406,1731651964.9763625,1731651964.9496717,1731651964.9763794,1731651964.9772744,1731651964.9732735
1731651964.9733987,1731651964.9835594,1731651964.9904587,1731651965.0108385,1731651964.9840586,1731651965.0108566,1731651965.0117795,1731651965.0081828
1731651965.0083156,1731651965.0178854,1731651965.0242753,1731651965.0442681,1731651965.0183134,1731651965.0442827,1731651965.0451288,1731651965.0411265
