client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
1133879.818353967,0.787,1133865.864117656,1133865.865408536,1133865.870707469,1133865.88740197,1133865.88741247,1133865.888198069,1133865.888266868,1133879.845438322
1133879.845522701,0.787,1133865.891266874,1133865.892673903,1133865.898128578,1133865.914639324,1133865.914649733,1133865.915403583,1133865.915473143,1133879.872654407
1133879.87274088,0.787,1133865.918379634,1133865.919704577,1133865.925191093,1133865.941594386,1133865.941603023,1133865.942220936,1133865.942286148,1133879.899593979
1133879.899693587,0.787,1133865.945788821,1133865.947448064,1133865.952678128,1133865.969041585,1133865.969050432,1133865.969656233,1133865.969720513,1133879.926907748
1133879.927037624,0.787,1133865.97273183,1133865.974025436,1133865.979382498,1133865.996035411,1133865.996044128,1133865.996626824,1133865.996687879,1133879.95386303
1133879.953956277,0.787,1133865.9996214,1133866.001267218,1133866.006233004,1133866.022259789,1133866.022268204,1133866.023016162,1133866.023076485,1133879.980237772
1133879.980325539,0.787,1133866.025974109,1133866.027213983,1133866.03285537,1133866.049962498,1133866.049972597,1133866.050656384,1133866.050727057,1133880.007885855
1133880.007959023,0.787,1133866.053489787,1133866.054776599,1133866.059745441,1133866.07590263,1133866.075910685,1133866.076457264,1133866.076517218,1133880.033650546
1133880.033735656,0.787,1133866.079324802,1133866.080599952,1133866.085870932,1133866.113227249,1133866.113244632,1133866.113986749,1133866.114080836,1133880.071316357
1133880.071401118,0.787,1133866.117240223,1133866.118517316,1133866.124041102,1133866.140445508,1133866.140453834,1133866.1411431,1133866.141208784,1133880.098454815
1133880.098539876,0.787,1133866.144313418,1133866.145741856,1133866.151557272,1133866.169340993,1133866.169351853,1133866.170016814,1133866.170095573,1133880.127299019
1133880.127383458,0.787,1133866.173363273,1133866.174680863,1133866.179957945,1133866.196698653,1133866.19670779,1133866.197357002,1133866.197429408,1133880.154668243
1133880.154753604,0.787,1133866.200355726,1133866.201646165,1133866.206891988,1133866.22359727,1133866.223607108,1133866.224168204,1133866.224237053,1133880.181483179
1133880.181572117,0.787,1133866.22748692,1133866.228912162,1133866.234317195,1133866.252143376,1133866.252153155,1133866.25273546,1133866.252805383,1133880.210047994
1133880.210132093,0.787,1133866.25559869,1133866.256899157,1133866.262759598,1133866.279878708,1133866.279887294,1133866.280594104,1133866.280661972,1133880.237784883
1133880.237882257,0.787,1133866.283449638,1133866.285136703,1133866.290524775,1133866.306752367,1133866.306761414,1133866.30743989,1133866.307505715,1133880.264914124
1133880.26508145,0.787,1133866.310901516,1133866.312198347,1133866.317329424,1133866.333836232,1133866.333844398,1133866.334575654,1133866.334640846,1133880.291905213
1133880.29206717,0.787,1133866.337748305,1133866.33899373,1133866.344335583,1133866.360803818,1133866.360812414,1133866.36150624,1133866.36158031,1133880.318839615
1133880.318930457,0.787,1133866.364618247,1133866.36586281,1133866.371152486,1133866.387406418,1133866.387415204,1133866.38803996,1133866.388099703,1133880.345271986
1133880.345360063,0.787,1133866.391123072,1133866.392429572,1133866.397899667,1133866.414488569,1133866.414498398,1133866.415223402,1133866.415296841,1133880.372554768
1133880.372630461,0.787,1133866.418308178,1133866.419647489,1133866.425166616,1133866.441886595,1133866.441896355,1133866.442575993,1133866.442646897,1133880.399871082
1133880.400064758,0.787,1133866.44565069,1133866.446909679,1133866.451938454,1133866.468823545,1133866.468832812,1133866.469487614,1133866.469550773,1133880.426683674
1133880.426754588,0.787,1133866.472307251,1133866.473557133,1133866.478980982,1133866.494789255,1133866.494797581,1133866.495459807,1133866.495521212,1133880.452630417
1133880.452716471,0.787,1133866.498296326,1133866.499660794,1133866.504942023,1133866.52180908,1133866.521819409,1133866.522543151,1133866.522629814,1133880.479796866
1133880.479881095,0.787,1133866.526382417,1133866.528464215,1133866.535273181,1133866.555129131,1133866.555158266,1133866.556035598,1133866.556192954,1133880.513735511
1133880.513870506,0.787,1133866.559912715,1133866.56234854,1133866.574241764,1133866.595472252,1133866.595484425,1133866.596178852,1133866.596264353,1133880.553547551
1133880.553641828,0.787,1133866.599454918,1133866.600894207,1133866.606086009,1133866.622402238,1133866.622410423,1133866.623201282,1133866.623267716,1133880.580400148
1133880.580484427,0.787,1133866.626125075,1133866.627427275,1133866.632648262,1133866.648915228,1133866.648924315,1133866.64954305,1133866.64962272,1133880.606771673
1133880.606873806,0.787,1133866.652418872,1133866.653752012,1133866.659389372,1133866.675386791,1133866.675395577,1133866.676142172,1133866.676208037,1133880.63386213
1133880.63407836,0.787,1133866.68012001,1133866.681389719,1133866.686896183,1133866.703815016,1133866.703823302,1133866.704605994,1133866.704669495,1133880.662087955
1133880.662222129,0.787,1133866.708044246,1133866.70933194,1133866.714607068,1133866.731194007,1133866.731202833,1133866.731977752,1133866.732065256,1133880.689421131
1133880.689528454,0.787,1133866.735367472,1133866.736698076,1133866.742267128,1133866.759891319,1133866.759901027,1133866.760651198,1133866.760718506,1133880.717997446
1133880.718139003,0.787,1133866.763850801,1133866.765195953,1133866.770600785,1133866.787219764,1133866.78722833,1133866.787954407,1133866.788039607,1133880.745325753
1133880.745604159,0.787,1133866.791674878,1133866.792936433,1133866.798316439,1133866.814152184,1133866.814160259,1133866.814860357,1133866.814924006,1133880.772387886
1133880.772512282,0.787,1133866.818466454,1133866.819764828,1133866.825355851,1133866.841842861,1133866.841850936,1133866.842590729,1133866.842652986,1133880.800096471
1133880.800251104,0.787,1133866.84610843,1133866.847716816,1133866.85318068,1133866.870354834,1133866.870364001,1133866.871145792,1133866.87121362,1133880.828770039
1133880.828965008,0.787,1133866.875269003,1133866.876727518,1133866.882327217,1133866.899796196,1133866.899808259,1133866.900527974,1133866.900628834,1133880.858205189
1133880.858328162,0.787,1133866.904257663,1133866.905662847,1133866.911201773,1133866.927468939,1133866.927478377,1133866.928223249,1133866.928291167,1133880.885616103
1133880.88573645,0.787,1133866.931824237,1133866.933122299,1133866.938251604,1133866.954556992,1133866.954578212,1133866.955374912,1133866.955440064,1133880.912776402
1133880.912901559,0.787,1133866.958616994,1133866.959872116,1133866.965816525,1133866.9892613,1133866.989271018,1133866.990059061,1133866.990129584,1133880.947508576
1133880.947613465,0.787,1133866.993262671,1133866.994631948,1133867.000093868,1133867.014786251,1133867.014795509,1133867.015516696,1133867.015604441,1133880.972959932
1133880.973107793,0.787,1133867.018794925,1133867.020100223,1133867.02533764,1133867.040223928,1133867.040231862,1133867.041081762,1133867.041145052,1133880.998433574
1133880.998525517,0.787,1133867.044470641,1133867.045948211,1133867.051156404,1133867.067463306,1133867.067473806,1133867.068223066,1133867.068304088,1133881.025828577
1133881.025945708,0.787,1133867.072285662,1133867.073706887,1133867.078949634,1133867.094330392,1133867.094340221,1133867.095163741,1133867.09523722,1133881.05270074
1133881.052830355,0.787,1133867.098480694,1133867.099784187,1133867.105138104,1133867.119993523,1133867.120026836,1133867.120787638,1133867.120855365,1133881.078171374
1133881.078265392,0.787,1133867.124179472,1133867.126343484,1133867.131732648,1133867.146834832,1133867.146844711,1133867.147526534,1133867.147617124,1133881.10481267
1133881.104911147,0.787,1133867.150516381,1133867.151864558,1133867.156780932,1133867.172481973,1133867.172491131,1133867.173146844,1133867.173215584,1133881.130423311
1133881.130505596,0.787,1133867.176211923,1133867.177491091,1133867.182309971,1133867.202239961,1133867.202269998,1133867.202993599,1133867.203173868,1133881.16072575
1133881.160810711,0.787,1133867.206959944,1133867.20867875,1133867.214329084,1133867.232951544,1133867.232967975,1133867.233793499,1133867.233911471,1133881.191432815
1133881.19152036,0.787,1133867.237347407,1133867.238738375,1133867.243841571,1133867.260396209,1133867.260405566,1133867.261149796,1133867.261224488,1133881.218752975
1133881.218927135,0.787,1133867.264882562,1133867.266256197,1133867.27205425,1133867.288980808,1133867.288989715,1133867.289764563,1133867.289833613,1133881.247230683
1133881.247336544,0.787,1133867.293390567,1133867.294663533,1133867.300127096,1133867.31630273,1133867.316311517,1133867.31697735,1133867.31706183,1133881.274394169
1133881.274482677,0.787,1133867.32018068,1133867.321426504,1133867.326437446,1133867.342863532,1133867.342872268,1133867.343513635,1133867.34359056,1133881.300798129
1133881.300936771,0.787,1133867.34652887,1133867.347803469,1133867.352753325,1133867.369709709,1133867.369718726,1133867.370440705,1133867.370504826,1133881.327680601
1133881.327768798,0.787,1133867.373739484,1133867.375190364,1133867.381040675,1133867.40162098,1133867.401632091,1133867.402333601,1133867.402415546,1133881.359920684
1133881.36007195,0.787,1133867.405847976,1133867.407592259,1133867.413242934,1133867.430149585,1133867.430158912,1133867.430927849,1133867.431021616,1133881.388365502
1133881.38846551,0.787,1133867.434194226,1133867.435463115,1133867.440530723,1133867.457372581,1133867.457381929,1133867.458134605,1133867.458204878,1133881.415393148
1133881.41546824,0.787,1133867.461235942,1133867.462633102,1133867.468073131,1133867.485499639,1133867.485509137,1133867.486304064,1133867.486374407,1133881.443602569
1133881.443686187,0.787,1133867.489371096,1133867.490735014,1133867.496293775,1133867.512401191,1133867.512410769,1133867.513142427,1133867.51320816,1133881.470406053
1133881.470494972,0.787,1133867.51617787,1133867.517521218,1133867.52314339,1133867.539734135,1133867.539743693,1133867.540440835,1133867.540512962,1133881.497729071
1133881.497800055,0.787,1133867.543342427,1133867.544666348,1133867.549835908,1133867.566808382,1133867.566817058,1133867.567538878,1133867.567623126,1133881.524804929
1133881.524950544,0.787,1133867.571248449,1133867.572544929,1133867.577926839,1133867.59466907,1133867.59468001,1133867.595464888,1133867.595547342,1133881.552967081
1133881.553088861,0.787,1133867.59872862,1133867.600233352,1133867.606171258,1133867.626058959,1133867.626068707,1133867.626663827,1133867.626730884,1133881.583811423
1133881.583895001,0.787,1133867.629424473,1133867.630694624,1133867.636024205,1133867.6527048,1133867.652713807,1133867.653417371,1133867.653479989,1133881.610740044
1133881.610839813,0.787,1133867.656445861,1133867.657720109,1133867.662781816,1133867.679856232,1133867.67986591,1133867.68050313,1133867.680581978,1133881.637766099
1133881.637890936,0.787,1133867.684448736,1133867.687077303,1133867.69323359,1133867.711966257,1133867.711987367,1133867.712787002,1133867.712929089,1133881.670397661
