model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
mobilenet_v3_small,1731689249.0396051,1731689249.0490797,1731689249.0552635,1731689249.0731313,1731689249.0494971,1731689249.0731473,1731689249.074093,1731689249.0701895
mobilenet_v3_small,1731689249.0704684,1731689249.080301,1731689249.086797,1731689249.104701,1731689249.0807338,1731689249.1047158,1731689249.1056767,1731689249.1017463
mobilenet_v3_small,1731689249.1019855,1731689249.1114655,1731689249.1176836,1731689249.132212,1731689249.1118684,1731689249.1322281,1731689249.1331787,1731689249.1291196
mobilenet_v3_small,1731689249.1293151,1731689249.1391335,1731689249.1448812,1731689249.1592398,1731689249.1395652,1731689249.159255,1731689249.1601503,1731689249.1561375
mobilenet_v3_small,1731689249.1564028,1731689249.1662366,1731689249.1726127,1731689249.1882975,1731689249.166682,1731689249.188313,1731689249.189162,1731689249.185176
mobilenet_v3_small,1731689249.1854393,1731689249.1952882,1731689249.201254,1731689249.2187023,1731689249.1957269,1731689249.2187173,1731689249.2195618,1731689249.2156544
mobilenet_v3_small,1731689249.2159007,1731689249.2254162,1731689249.2322164,1731689249.259885,1731689249.2258387,1731689249.259902,1731689249.2607367,1731689249.256752
mobilenet_v3_small,1731689249.256994,1731689249.266673,1731689249.2730362,1731689249.3001652,1731689249.267084,1731689249.300183,1731689249.3010917,1731689249.297074
mobilenet_v3_small,1731689249.2973473,1731689249.3068705,1731689249.3132582,1731689249.3438036,1731689249.3072727,1731689249.3438215,1731689249.344756,1731689249.3407686
mobilenet_v3_small,1731689249.3409534,1731689249.351502,1731689249.3581376,1731689249.3873653,1731689249.35197,1731689249.387387,1731689249.3885133,1731689249.384601
mobilenet_v3_small,1731689249.384872,1731689249.3948069,1731689249.4008896,1731689249.4382608,1731689249.395222,1731689249.43828,1731689249.439176,1731689249.4353647
mobilenet_v3_small,1731689249.4356434,1731689249.4456015,1731689249.45168,1731689249.4702713,1731689249.4460282,1731689249.470287,1731689249.471268,1731689249.4673944
mobilenet_v3_small,1731689249.4676669,1731689249.4772928,1731689249.4832911,1731689249.5015726,1731689249.477732,1731689249.5015898,1731689249.5025542,1731689249.4986637
mobilenet_v3_small,1731689249.498914,1731689249.5086715,1731689249.5146642,1731689249.5326169,1731689249.5090663,1731689249.5326326,1731689249.5336092,1731689249.5294497
mobilenet_v3_small,1731689249.5297236,1731689249.5393462,1731689249.5455272,1731689249.5640385,1731689249.5397758,1731689249.5640538,1731689249.565003,1731689249.5609682
mobilenet_v3_small,1731689249.56128,1731689249.5709255,1731689249.5776424,1731689249.603981,1731689249.5713243,1731689249.603998,1731689249.6049504,1731689249.6010613
mobilenet_v3_small,1731689249.6012697,1731689249.611245,1731689249.6175086,1731689249.6356804,1731689249.6117067,1731689249.6356962,1731689249.6366372,1731689249.6324897
mobilenet_v3_small,1731689249.632777,1731689249.642644,1731689249.648754,1731689249.6667674,1731689249.6430426,1731689249.666782,1731689249.6676095,1731689249.6635275
mobilenet_v3_small,1731689249.6638062,1731689249.6750789,1731689249.6826997,1731689249.7059565,1731689249.6756947,1731689249.7059793,1731689249.7069805,1731689249.7032933
mobilenet_v3_small,1731689249.7036188,1731689249.7146306,1731689249.7227612,1731689249.744755,1731689249.715166,1731689249.7447813,1731689249.745725,1731689249.7418828
mobilenet_v3_small,1731689249.7420747,1731689249.7522202,1731689249.758688,1731689249.7782786,1731689249.7527282,1731689249.7783005,1731689249.7791283,1731689249.7752993
mobilenet_v3_small,1731689249.7756076,1731689249.785629,1731689249.7917461,1731689249.8113089,1731689249.7860856,1731689249.81133,1731689249.8123558,1731689249.808596
mobilenet_v3_small,1731689249.8089054,1731689249.8190653,1731689249.8252518,1731689249.8446345,1731689249.8195457,1731689249.844656,1731689249.845632,1731689249.8417253
mobilenet_v3_small,1731689249.8419194,1731689249.853117,1731689249.8610728,1731689249.8844576,1731689249.8537023,1731689249.8844998,1731689249.8856688,1731689249.8822284
