model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
mobilenet_v3_small,1731689253.124738,1731689253.1350205,1731689253.1415143,1731689253.1615117,1731689253.1354966,1731689253.1615348,1731689253.16242,1731689253.1587505
mobilenet_v3_small,1731689253.1590629,1731689253.1701877,1731689253.177742,1731689253.2001636,1731689253.1707523,1731689253.200197,1731689253.2013965,1731689253.197862
mobilenet_v3_small,1731689253.1980536,1731689253.208873,1731689253.2197993,1731689253.2393548,1731689253.2096283,1731689253.239379,1731689253.2408612,1731689253.2368724
mobilenet_v3_small,1731689253.237024,1731689253.2474973,1731689253.2544544,1731689253.2739987,1731689253.2480214,1731689253.2740254,1731689253.2749665,1731689253.2708979
mobilenet_v3_small,1731689253.27104,1731689253.2808566,1731689253.2873244,1731689253.305841,1731689253.2813215,1731689253.305866,1731689253.308161,1731689253.3041313
mobilenet_v3_small,1731689253.3042657,1731689253.3141093,1731689253.3209214,1731689253.3395915,1731689253.3146474,1731689253.3396165,1731689253.3405013,1731689253.336325
mobilenet_v3_small,1731689253.3364618,1731689253.3469753,1731689253.354501,1731689253.3749673,1731689253.3476207,1731689253.3749943,1731689253.3758335,1731689253.3719087
mobilenet_v3_small,1731689253.3720422,1731689253.3825605,1731689253.389955,1731689253.4098227,1731689253.3830743,1731689253.4098468,1731689253.4108117,1731689253.406773
mobilenet_v3_small,1731689253.4068975,1731689253.4168394,1731689253.4234488,1731689253.4422596,1731689253.4172947,1731689253.442283,1731689253.4434433,1731689253.4391956
mobilenet_v3_small,1731689253.4392989,1731689253.4487596,1731689253.455167,1731689253.4765716,1731689253.4492002,1731689253.4765985,1731689253.4775598,1731689253.473512
mobilenet_v3_small,1731689253.4736643,1731689253.4836621,1731689253.490183,1731689253.5088825,1731689253.4841166,1731689253.5089014,1731689253.5107849,1731689253.506653
mobilenet_v3_small,1731689253.5068202,1731689253.5163016,1731689253.5223222,1731689253.5402853,1731689253.5167327,1731689253.5403018,1731689253.5430143,1731689253.538841
mobilenet_v3_small,1731689253.53894,1731689253.5488253,1731689253.5552464,1731689253.573272,1731689253.5492811,1731689253.573292,1731689253.5742195,1731689253.5703068
mobilenet_v3_small,1731689253.5704947,1731689253.5801892,1731689253.5865843,1731689253.6028316,1731689253.580675,1731689253.6028535,1731689253.6042407,1731689253.6003592
mobilenet_v3_small,1731689253.600628,1731689253.6103833,1731689253.6169248,1731689253.6340246,1731689253.610872,1731689253.6340504,1731689253.6347344,1731689253.630892
mobilenet_v3_small,1731689253.631062,1731689253.6416779,1731689253.6482434,1731689253.6642284,1731689253.6421568,1731689253.6642504,1731689253.6689587,1731689253.6649354
mobilenet_v3_small,1731689253.665111,1731689253.6752727,1731689253.6817708,1731689253.697997,1731689253.6757827,1731689253.698019,1731689253.6988945,1731689253.6948144
mobilenet_v3_small,1731689253.694961,1731689253.7046337,1731689253.7107997,1731689253.7269022,1731689253.7050753,1731689253.7269216,1731689253.7276351,1731689253.7233653
mobilenet_v3_small,1731689253.7235026,1731689253.7331166,1731689253.7393472,1731689253.7556913,1731689253.7335892,1731689253.75571,1731689253.7564964,1731689253.7524662
mobilenet_v3_small,1731689253.752638,1731689253.7625105,1731689253.7686672,1731689253.7851062,1731689253.762938,1731689253.785128,1731689253.7859678,1731689253.781929
mobilenet_v3_small,1731689253.782042,1731689253.7916408,1731689253.7976406,1731689253.824065,1731689253.7920694,1731689253.8240862,1731689253.8266556,1731689253.8225024
mobilenet_v3_small,1731689253.822664,1731689253.8322597,1731689253.838673,1731689253.8710659,1731689253.8327115,1731689253.871083,1731689253.8722737,1731689253.8683298
mobilenet_v3_small,1731689253.868479,1731689253.8783605,1731689253.8846655,1731689253.9127524,1731689253.8788154,1731689253.9127758,1731689253.9139965,1731689253.9101322
mobilenet_v3_small,1731689253.9102771,1731689253.9198687,1731689253.9262671,1731689253.9522352,1731689253.9203,1731689253.952255,1731689253.9531536,1731689253.9489021
mobilenet_v3_small,1731689253.9490364,1731689253.9589922,1731689253.9653823,1731689253.9931476,1731689253.9594443,1731689253.993171,1731689253.9943738,1731689253.990104
mobilenet_v3_small,1731689253.9902234,1731689254.000078,1731689254.006598,1731689254.0323493,1731689254.0005407,1731689254.0323684,1731689254.033537,1731689254.0292437
mobilenet_v3_small,1731689254.029382,1731689254.0393202,1731689254.0456886,1731689254.064721,1731689254.0397878,1731689254.0647385,1731689254.065681,1731689254.0613763
mobilenet_v3_small,1731689254.0615134,1731689254.0714145,1731689254.077312,1731689254.093492,1731689254.0718634,1731689254.0935094,1731689254.0943727,1731689254.090346
mobilenet_v3_small,1731689254.0906413,1731689254.100338,1731689254.1072655,1731689254.1473114,1731689254.1007977,1731689254.147333,1731689254.149142,1731689254.145056
mobilenet_v3_small,1731689254.1452143,1731689254.1556487,1731689254.161759,1731689254.1782603,1731689254.1561015,1731689254.1782775,1731689254.1791952,1731689254.175168
mobilenet_v3_small,1731689254.1753082,1731689254.185522,1731689254.1919446,1731689254.209968,1731689254.1861997,1731689254.209988,1731689254.2109172,1731689254.2069333
mobilenet_v3_small,1731689254.2071145,1731689254.217362,1731689254.223522,1731689254.2442396,1731689254.2178295,1731689254.2442648,1731689254.245276,1731689254.241168
mobilenet_v3_small,1731689254.2412958,1731689254.2516096,1731689254.2583315,1731689254.2784545,1731689254.2520843,1731689254.2784934,1731689254.2794967,1731689254.275416
mobilenet_v3_small,1731689254.275591,1731689254.2856581,1731689254.2920876,1731689254.3115988,1731689254.2860992,1731689254.311623,1731689254.3127387,1731689254.308821
mobilenet_v3_small,1731689254.308964,1731689254.3194795,1731689254.3261533,1731689254.346118,1731689254.319935,1731689254.3461418,1731689254.3472478,1731689254.3432093
